city,area,bedrooms,bathrooms,price,address
Stuttgart,58,1,1,478214,Stuttgart Street 2254
Munich,87,2,1,719050,Munich Street 840
Stuttgart,169,4,3,1431689,Stuttgart Street 4838
Frankfurt,38,1,1,386685,Frankfurt Street 768
Munich,89,2,1,721072,Munich Street 4598
Munich,196,4,4,1587985,Munich Street 1806
Frankfurt,180,4,4,1847442,Frankfurt Street 54
Munich,138,3,3,1353040,Munich Street 2277
Munich,85,2,2,654660,Munich Street 838
Berlin,127,3,2,915076,Berlin Street 2941
Hamburg,184,4,4,1202012,Hamburg Street 356
Stuttgart,147,3,2,999806,Stuttgart Street 3101
Berlin,171,4,4,1165288,Berlin Street 2963
Cologne,79,1,1,331637,Cologne Street 376
Stuttgart,88,2,2,432310,Stuttgart Street 654
Munich,55,1,1,414926,Munich Street 2278
Frankfurt,192,4,4,1194236,Frankfurt Street 1333
Hamburg,120,3,2,918301,Hamburg Street 2188
Stuttgart,195,4,3,1196902,Stuttgart Street 4991
Stuttgart,73,1,1,392852,Stuttgart Street 1339
Frankfurt,127,3,3,1280974,Frankfurt Street 4563
Munich,113,2,1,917128,Munich Street 1877
Berlin,110,2,2,724656,Berlin Street 2194
Berlin,84,2,2,390417,Berlin Street 1742
Stuttgart,157,3,3,1049297,Stuttgart Street 3759
Munich,97,2,1,842791,Munich Street 2021
Stuttgart,173,4,4,998817,Stuttgart Street 4789
Frankfurt,179,4,4,1501109,Frankfurt Street 2966
Munich,65,1,1,486129,Munich Street 745
Berlin,58,1,1,355006,Berlin Street 1311
Stuttgart,138,3,2,910446,Stuttgart Street 3153
Frankfurt,182,4,4,1945498,Frankfurt Street 4335
Hamburg,171,4,3,1227876,Hamburg Street 939
Stuttgart,167,4,4,987543,Stuttgart Street 2787
Berlin,105,2,2,794777,Berlin Street 1296
Frankfurt,30,1,1,176864,Frankfurt Street 4101
Munich,159,3,2,1407955,Munich Street 2445
Stuttgart,159,3,2,725118,Stuttgart Street 1253
Hamburg,71,1,1,375406,Hamburg Street 4907
Hamburg,155,3,2,1159939,Hamburg Street 917
Hamburg,108,2,1,892446,Hamburg Street 475
Munich,175,4,3,1538482,Munich Street 702
Stuttgart,154,3,2,1128285,Stuttgart Street 4364
Munich,62,1,1,495263,Munich Street 4504
Munich,97,2,2,580691,Munich Street 1736
Cologne,81,2,2,471501,Cologne Street 3269
Stuttgart,196,4,4,1334572,Stuttgart Street 3589
Cologne,145,3,2,1194464,Cologne Street 2031
Munich,46,1,1,417870,Munich Street 173
Cologne,171,4,3,752787,Cologne Street 4821
Munich,31,1,1,280579,Munich Street 483
Munich,47,1,1,368731,Munich Street 2707
Berlin,161,4,3,904820,Berlin Street 2282
Stuttgart,154,3,2,1296297,Stuttgart Street 4418
Munich,176,4,4,1804475,Munich Street 1991
Frankfurt,134,3,2,1239874,Frankfurt Street 773
Berlin,198,4,4,1070985,Berlin Street 2903
Frankfurt,135,3,3,987879,Frankfurt Street 444
Stuttgart,197,4,3,1575388,Stuttgart Street 497
Frankfurt,116,2,1,1081334,Frankfurt Street 2037
Munich,78,1,1,599461,Munich Street 1149
Frankfurt,76,1,1,570788,Frankfurt Street 3790
Munich,49,1,1,324342,Munich Street 4509
Berlin,42,1,1,207687,Berlin Street 765
Munich,72,1,1,711453,Munich Street 3979
Frankfurt,84,2,2,832921,Frankfurt Street 481
Munich,127,3,2,1063953,Munich Street 3199
Hamburg,146,3,3,1262182,Hamburg Street 3466
Stuttgart,172,4,4,1383302,Stuttgart Street 1269
Munich,105,2,1,777346,Munich Street 480
Cologne,168,4,3,1224971,Cologne Street 2570
Berlin,42,1,1,356976,Berlin Street 4120
Cologne,70,1,1,472589,Cologne Street 4161
Berlin,77,1,1,657120,Berlin Street 4875
Berlin,90,2,2,278489,Berlin Street 983
Cologne,93,2,1,736354,Cologne Street 672
Frankfurt,198,4,4,1571287,Frankfurt Street 2137
Munich,110,2,1,879085,Munich Street 2176
Frankfurt,63,1,1,500418,Frankfurt Street 3746
Hamburg,48,1,1,208219,Hamburg Street 3755
Cologne,174,4,3,1131216,Cologne Street 601
Cologne,84,2,2,611996,Cologne Street 1086
Hamburg,47,1,1,438423,Hamburg Street 3028
Hamburg,70,1,1,451758,Hamburg Street 4451
Stuttgart,107,2,1,672736,Stuttgart Street 4544
Hamburg,199,4,3,1289016,Hamburg Street 1101
Hamburg,59,1,1,502572,Hamburg Street 4533
Munich,99,2,2,896828,Munich Street 4955
Munich,117,2,1,889130,Munich Street 2163
Cologne,155,3,3,1162196,Cologne Street 417
Berlin,192,4,4,1272230,Berlin Street 2267
Berlin,30,1,1,232777,Berlin Street 1072
Stuttgart,97,2,1,625351,Stuttgart Street 3620
Cologne,139,3,2,883258,Cologne Street 917
Berlin,68,1,1,407337,Berlin Street 3025
Cologne,171,4,3,822444,Cologne Street 3521
Munich,40,1,1,360136,Munich Street 2988
Berlin,121,3,2,827563,Berlin Street 2045
Stuttgart,56,1,1,420429,Stuttgart Street 4587
Frankfurt,188,4,3,1397600,Frankfurt Street 1940
Munich,75,1,1,457040,Munich Street 204
Munich,115,2,2,895263,Munich Street 2033
Hamburg,70,1,1,469454,Hamburg Street 3134
Berlin,150,3,2,818555,Berlin Street 1635
Frankfurt,119,2,2,898258,Frankfurt Street 1865
Munich,36,1,1,330727,Munich Street 3265
Hamburg,101,2,1,1001526,Hamburg Street 2287
Hamburg,194,4,4,1445570,Hamburg Street 4393
Hamburg,37,1,1,280122,Hamburg Street 2140
Munich,178,4,4,1490472,Munich Street 314
Berlin,182,4,4,729018,Berlin Street 2832
Stuttgart,110,2,2,820625,Stuttgart Street 4967
Cologne,59,1,1,406032,Cologne Street 4724
Munich,95,2,1,1205313,Munich Street 3573
